competition,match,team,color,landed,sampled,claimed,parked,lander,depot,other,hanging,partincrater,fullyincrater,disconnected,side
BRATTAIN1,1,417,Blue,1,1,0,1,0,3,1,0,0,0,none,gold
BRATTAIN1,1,14760,Red,0,0,0,0,0,2,0,0,1,0,part.,silver
BRATTAIN1,1,12557,Red,1,0,1,0,0,1,0,0,0,0,none,gold
BRATTAIN1,2,8923,Blue,1,1,1,0,0,4,0,1,0,0,none,silver
BRATTAIN1,2,8923,Blue,1,1,1,0,0,4,0,1,0,0,none,gold
BRATTAIN1,2,8103,Blue,1,0,1,1,4,0,1,0,0,0,none,silver
BRATTAIN1,2,9884,Red,1,0,0,0,0,3,0,0,0,0,none,gold
BRATTAIN1,2,6220,Red,1,0,1,1,0,0,0,1,0,0,none,silver
BRATTAIN1,3,15203,Blue,0,0,0,1,0,0,0,0,1,0,part.,gold
BRATTAIN1,3,14370,Blue,1,0,0,0,0,3,0,0,1,0,none,silver
BRATTAIN1,3,12878,Red,0,0,0,0,0,1,0,1,0,0,part.,gold
BRATTAIN1,3,14246,Red,0,0,1,1,0,4,0,0,1,0,part.,silver
BRATTAIN1,4,12598,Blue,0,0,0,1,0,3,0,0,1,0,none,gold
BRATTAIN1,4,11970,Blue,0,0,0,0,0,1,0,0,0,0,none,silver
BRATTAIN1,4,11104,Red,1,0,1,0,0,3,0,1,0,0,none,gold
BRATTAIN1,4,13354,Red,1,1,0,1,0,0,0,1,0,0,none,silver
BRATTAIN1,5,14370,Blue,0,0,0,0,0,3,0,0,0,0,none,gold
BRATTAIN1,5,14760,Blue,0,0,0,0,0,2,0,0,1,0,none,silver
BRATTAIN1,5,15203,Red,0,1,0,1,0,3,0,0,0,0,none,gold
BRATTAIN1,5,8103,Red,1,1,1,1,3,1,0,0,0,0,none,silver
BRATTAIN1,6,417,Blue,1,1,1,0,0,0,1,0,0,0,none,gold
BRATTAIN1,6,12878,Blue,0,0,0,0,0,0,1,0,0,0,none,silver
BRATTAIN1,6,8923,Red,1,1,1,1,0,1,0,1,0,0,none,gold
BRATTAIN1,6,11970,Red,1,0,0,0,3,0,0,0,1,0,full,silver
BRATTAIN1,7,13211,Red,1,0,0,1,1,0,0,1,0,0,none,gold
BRATTAIN1,7,12598,Red,0,0,1,1,0,3,0,0,1,0,none,silver
BRATTAIN1,7,14246,Blue,0,0,1,1,0,0,0,0,1,0,part.,gold
BRATTAIN1,7,9884,Blue,1,0,0,1,0,4,0,0,0,0,part.,silver
BRATTAIN1,8,6220,Red,1,1,0,1,2,0,0,1,0,0,none,gold
BRATTAIN1,8,13354,Red,1,0,0,0,1,0,0,0,0,0,none,silver
BRATTAIN1,8,11104,Blue,1,1,1,1,0,5,0,0,0,0,none,gold
BRATTAIN1,8,12557,Blue,1,0,0,0,0,2,0,0,0,0,none,silver
BRATTAIN1,9,8103,Red,1,1,1,0,6,2,0,1,0,0,none,gold
BRATTAIN1,9,14370,Red,1,0,0,0,0,0,0,0,0,0,part.,silver
BRATTAIN1,9,11970,Blue,1,0,0,1,0,0,0,0,1,0,none,gold
BRATTAIN1,9,13211,Blue,1,0,0,0,0,0,0,1,0,0,none,silver
BRATTAIN1,10,11104,Red,1,1,0,0,0,0,0,1,0,0,none,gold
BRATTAIN1,10,14246,Red,0,0,0,1,0,0,0,0,1,0,none,silver
BRATTAIN1,10,12557,Blue,1,0,0,0,0,0,0,0,0,0,part.,gold
BRATTAIN1,10,8923,Blue,1,1,1,0,0,7,0,0,0,0,none,silver
BRATTAIN1,11,9884,Red,1,0,0,1,0,1,0,0,0,0,none,gold
BRATTAIN1,11,13354,Red,1,0,1,0,0,3,0,0,1,0,none,silver
BRATTAIN1,11,14760,Blue,0,0,0,0,0,3,0,0,0,1,none,gold
BRATTAIN1,11,12878,Blue,1,0,0,0,0,3,1,0,0,0,part.,silver
BRATTAIN1,12,12598,Red,0,1,0,1,0,1,0,0,0,1,none,gold
BRATTAIN1,12,417,Red,1,1,1,0,0,2,0,0,1,0,none,silver
BRATTAIN1,12,6220,Blue,1,1,1,0,4,0,0,1,0,0,none,gold
BRATTAIN1,12,15203,Blue,0,0,0,1,3,0,0,0,0,0,none,silver
BRATTAIN1,13,13354,Blue,1,1,1,1,0,3,0,0,1,0,none,gold
BRATTAIN1,13,14760,Blue,0,0,0,0,0,0,0,0,1,0,none,silver
BRATTAIN1,13,14370,Red,1,0,0,1,0,1,0,0,1,0,none,gold
BRATTAIN1,13,8923,Red,1,1,1,1,0,6,0,1,0,0,part.,silver
BRATTAIN1,14,13211,Blue,1,0,1,0,0,0,0,1,0,0,none,gold
BRATTAIN1,14,12878,Blue,1,0,0,0,0,0,0,1,0,0,none,silver
BRATTAIN1,14,6220,Red,1,1,1,1,0,2,0,1,0,0,none,gold
BRATTAIN1,14,11104,Red,1,1,0,1,0,3,0,0,1,0,none,silver
BRATTAIN1,15,9884,Blue,0,0,0,0,0,0,0,0,0,0,part.,gold
BRATTAIN1,15,15203,Blue,0,0,0,1,0,0,0,0,0,0,none,silver
BRATTAIN1,15,12557,Red,1,0,0,0,0,2,0,1,0,0,none,gold
BRATTAIN1,15,11970,Red,1,0,0,0,0,5,0,0,0,0,none,silver
BRATTAIN1,16,417,Red,0,1,0,1,0,1,0,0,0,1,none,gold
BRATTAIN1,16,8103,Red,1,1,1,0,10,0,0,1,0,0,none,silver
BRATTAIN1,16,12598,Blue,0,0,0,1,0,2,0,0,0,1,none,gold
BRATTAIN1,16,14246,Blue,0,0,1,0,0,8,0,0,1,0,none,silver
BRATTAIN1,17,15203,Red,0,1,0,0,0,1,0,1,0,0,none,gold
BRATTAIN1,17,13211,Red,1,1,1,0,0,0,0,0,0,0,none,silver
BRATTAIN1,17,13354,Blue,0,0,0,0,0,4,0,0,0,0,none,gold
BRATTAIN1,17,8923,Blue,1,1,1,1,0,5,0,1,0,0,none,silver
BRATTAIN1,18,12878,Red,1,0,0,0,2,0,0,0,0,1,none,gold
BRATTAIN1,18,12557,Red,1,0,0,0,0,3,0,1,0,0,none,silver
BRATTAIN1,18,12598,Blue,0,1,0,1,0,4,0,0,0,1,none,gold
BRATTAIN1,18,8103,Blue,1,1,1,1,8,1,0,1,0,0,none,silver
BRATTAIN1,19,11970,Blue,1,0,0,1,0,4,0,1,0,0,none,gold
BRATTAIN1,19,6220,Blue,1,0,1,1,0,3,0,1,0,0,none,silver
BRATTAIN1,19,14246,Red,0,0,0,1,0,3,0,0,1,0,part.,gold
BRATTAIN1,19,14760,Red,0,0,0,0,0,1,0,0,1,0,part.,silver
BRATTAIN1,20,9884,Blue,1,0,0,1,0,0,0,0,1,0,none,gold
BRATTAIN1,20,11104,Blue,0,0,0,0,0,4,0,1,0,0,none,silver
BRATTAIN1,20,417,Red,1,0,1,0,0,2,0,0,0,1,none,gold
BRATTAIN1,20,14370,Red,1,0,0,1,0,4,0,0,0,0,none,silver
BRATTAIN1,21,12598,Blue,0,0,1,1,0,2,0,0,0,0,none,gold
BRATTAIN1,21,12557,Blue,1,0,1,1,0,3,0,1,0,0,none,silver
BRATTAIN1,21,12878,Red,1,0,0,0,3,0,0,1,0,0,none,gold
BRATTAIN1,21,9884,Red,1,1,1,1,0,3,0,1,0,0,none,silver
BRATTAIN1,22,13211,Blue,1,0,1,1,2,0,0,1,0,0,none,gold
BRATTAIN1,22,8923,Blue,1,1,1,1,0,3,0,1,0,0,none,silver
BRATTAIN1,22,14760,Red,0,0,0,0,0,2,0,0,0,0,none,gold
BRATTAIN1,22,8103,Red,1,1,1,1,3,8,0,1,0,0,none,silver
BRATTAIN1,23,15203,Blue,0,1,0,1,0,6,0,1,0,0,none,gold
BRATTAIN1,23,14370,Blue,1,0,0,0,0,2,0,0,1,0,none,silver
BRATTAIN1,23,14246,Red,1,1,1,0,0,3,0,1,0,0,none,gold
BRATTAIN1,23,417,Red,1,1,1,0,0,3,0,1,0,0,none,silver
BRATTAIN1,24,11104,Blue,1,1,1,1,0,2,0,1,0,0,none,gold
BRATTAIN1,24,11970,Blue,1,1,1,0,0,2,0,1,0,0,none,silver
BRATTAIN1,24,13354,Red,1,0,1,1,0,2,0,1,0,0,none,gold
BRATTAIN1,24,6220,Red,1,1,1,1,0,0,0,1,0,0,none,silver
