Number,Name,
417,S.K.I.D,Inspire2 Tesla
2856,Tesseract,Inspire3 Pasteur
3491,FIX IT,Inspire2 Pasteur
5446,CLAWsistency,WAC Watt
5604,Thunderbots,Inspire3 Watt
5961,Sound Robotics,FAC Watt
5971,Brain Bots,FA2 Watt
6220,Centripetal,Inspire1 FA1 Tesla
6559,Geared Reaction,WA1 Inspire1 Watt
7198,Mechanical Minks,Think Pasteur
7742,The Electric Sheep,Think Watt
8099,Falcons,Inspire1 Curie
8103,null robotics,WAC Tesla
8628,Chickenados,WA1 Feynman
8923,Perpetual Velocity,FAC Tesla
9764,Eastmont High School,Inspire2 Curie
11104,Bearded Pineapples,WA2 Think Tesla
11120,CPR Eagles,Inspire 2 Feynman
11121,"Fishy Business, Inc. (FBI)",FA1 Watt
11138,Robo Eclipse,Inspire3 WA1 Tesla
11477,Four Eyes,WA2 Inspire2 Watt
11865,Steel Hearts,Motivate Watt
11970,Titanium Talons,FA2 Inspire1 Fenman
12089,matsb,WA1 Pasteur
12583,Pentacore,Connect Tesla
12611,TechNova,Inspire1 WAC Pasteur
12738,Nerdy Girls,WA1 Curie
12877,Amelia's Alicorns,Connect Pasteur
12894,Hexspeak,WA2 Feynman
13074,West Sound Academy,FAC Feynman
13330,Pulsar,WA2 Pasteur
13648,Jankbot,Innovate Feynman
14294,Nerdy Girls 2.0,WAC Curie
15070,Master Blasters Lords of Disasters,FAC Pasteur
15349,Infinity,Inspire3 Feynman
15468,Spartabots Green,FA1 Feynman
